user_id,dream_id,dream_text,dominant_emotion
user_00001,ad6bf7d9-5913-4b60-ab80-12537082b3b7,"I was in a haunted forest, reliving an old memory, when I found a glowing orb. Suddenly, everything changed.",sadness
user_00002,00c74232-bc23-479a-814c-d8459f1b809d,"I was in a crowded temple, dancing in the dark, when I found a mirror. Suddenly, everything changed.",sadness
user_00003,b89cc6ca-13ad-472e-bffd-9d16a553f3f6,"I was in a deserted village, reliving an old memory, when I found a glowing orb. Suddenly, everything changed.",fear
user_00004,e5debd63-8807-42d1-8e82-170d955fcb24,"I was in my childhood home, dancing in the dark, when I found a crying child. Suddenly, everything changed.",sadness
user_00004,db5b82f3-804f-49e7-bf1c-32371144a414,"I was in a rain-soaked street, reliving an old memory, when I found a glowing orb. Suddenly, everything changed.",fear
user_00004,70a3c0a9-4b94-483d-b713-f556bf76350f,"I was in my childhood home, running from a shadow, when I found a locked door. Suddenly, everything changed.",sadness
user_00005,bac26ad2-cd81-4fd1-8a52-7229e03bb0ab,"I was in a deserted village, dancing in the dark, when I found a crying child. Suddenly, everything changed.",joy
user_00005,2d11bd63-03b5-4ebb-98c4-c8d8a9774072,"I was in my childhood home, flying without wings, when I found a crying child. Suddenly, everything changed.",anger
user_00006,bd57b965-60c8-42a6-a11c-8e089780ba17,"I was in my childhood home, running from a shadow, when I found a mirror. Suddenly, everything changed.",surprise
user_00006,eb764d02-2749-4792-a177-cdcd2983acc8,"I was in a haunted forest, running from a shadow, when I found a burning photograph. Suddenly, everything changed.",surprise
user_00006,ec2a542a-4be7-4491-82e3-d252e82703eb,"I was in a haunted forest, dancing in the dark, when I found a crying child. Suddenly, everything changed.",neutral
user_00007,0fc46eaa-1242-4fb1-ac47-25ebebb691a3,"I was in a crowded temple, searching for something lost, when I found a crying child. Suddenly, everything changed.",anger
user_00008,7325e649-7736-4cc5-831c-39e5300ee957,"I was in my childhood home, searching for something lost, when I found a mirror. Suddenly, everything changed.",fear
user_00008,9da2a288-3ac1-431c-9429-703d19729898,"I was in a rain-soaked street, reliving an old memory, when I found a burning photograph. Suddenly, everything changed.",fear
user_00008,48a3b21f-e588-45fd-a58b-4b4cbf003315,"I was in a haunted forest, dancing in the dark, when I found a mirror. Suddenly, everything changed.",disgust
user_00009,1cc82c30-77c0-4b90-a1bf-bed53b1d94e8,"I was in my childhood home, flying without wings, when I found a glowing orb. Suddenly, everything changed.",surprise
user_00010,93fe9669-9d44-4ae3-8d1c-ab026347554d,"I was in a haunted forest, running from a shadow, when I found a mirror. Suddenly, everything changed.",fear
user_00010,aa18da3f-4ed1-4e17-9f89-a8befa189c2c,"I was in a rain-soaked street, dancing in the dark, when I found a burning photograph. Suddenly, everything changed.",fear
user_00011,87b95165-2e67-4c23-9909-387c91ceb961,"I was in a deserted village, reliving an old memory, when I found a mirror. Suddenly, everything changed.",sadness
